0_SensorIndex,0_AccelX,0_AccelY,0_AccelZ,0_GyroX,0_GyroY,0_GyroZ,0_MagX,0_MagY,0_MagZ,0_Quat1,0_Quat2,0_Quat3,0_Quat4,0_Sampletime,0_Package,
0,232,146,934,-6,-5,3,-803,-179,-516,10606,-625,-2196,-12278,48103,214,
0,232,147,931,3,-2,3,-803,-179,-516,10606,-625,-2196,-12278,48124,215,
0,231,144,934,-2,-3,0,-796,-172,-491,10606,-625,-2196,-12278,48143,216,
0,232,148,932,3,-9,-2,-796,-172,-491,10606,-625,-2196,-12278,48163,217,
0,232,147,936,1,5,-2,-809,-179,-497,10606,-625,-2196,-12278,48183,218,
0,229,147,934,2,-5,-2,-809,-179,-497,10606,-625,-2196,-12278,48203,219,
0,234,152,930,9,-4,-2,-809,-179,-497,10605,-626,-2196,-12278,48224,220,
0,236,151,931,1,8,-4,-803,-179,-497,10605,-626,-2196,-12278,48243,221,
0,231,147,931,-8,5,-1,-803,-179,-497,10606,-625,-2196,-12278,48263,222,
0,231,147,931,-8,6,-2,-792,-179,-491,10606,-626,-2195,-12278,48283,223,
0,235,146,939,-7,2,-1,-792,-179,-491,10606,-626,-2195,-12278,48303,224,
0,234,145,938,6,-8,1,-792,-179,-491,10606,-626,-2195,-12278,48324,225,
0,233,146,932,7,-5,-4,-803,-166,-504,10606,-626,-2195,-12278,48343,226,
0,230,146,932,6,-8,-3,-803,-166,-504,10606,-626,-2195,-12278,48363,227,
0,235,148,930,6,-6,-4,-792,-184,-497,10606,-626,-2195,-12278,48383,228,
0,230,147,931,3,2,-1,-792,-184,-497,10606,-626,-2195,-12278,48403,229,
0,232,147,934,4,-3,-1,-792,-184,-497,10606,-626,-2195,-12278,48424,230,
0,229,148,933,1,0,3,-792,-179,-484,10606,-626,-2195,-12278,48443,231,
0,235,148,932,3,-9,4,-792,-179,-484,10606,-626,-2195,-12278,48463,232,
0,236,150,932,-1,-8,3,-796,-179,-497,10606,-626,-2195,-12278,48483,233,
0,237,148,931,-1,6,-1,-796,-179,-497,10606,-626,-2195,-12278,48503,234,
0,231,142,933,-4,11,-4,-796,-179,-497,10606,-626,-2195,-12278,48524,235,
0,230,149,936,6,5,-6,-792,-172,-478,10606,-625,-2194,-12278,48543,236,
0,230,148,934,-3,-5,-2,-792,-172,-478,10606,-625,-2194,-12278,48563,237,
0,232,150,931,13,1,-1,-796,-160,-504,10606,-625,-2194,-12278,48583,238,
0,228,147,931,-4,11,0,-796,-160,-504,10606,-624,-2195,-12278,48603,239,
0,229,147,931,0,3,-1,-796,-160,-504,10606,-623,-2194,-12278,48624,240,
0,229,147,935,-3,7,0,-816,-184,-497,10606,-623,-2194,-12278,48643,241,
0,232,146,938,-6,0,-1,-816,-184,-497,10606,-623,-2194,-12278,48663,242,
0,233,147,936,-3,0,-1,-816,-184,-516,10606,-623,-2194,-12278,48683,243,
0,231,148,931,0,3,-1,-816,-184,-516,10606,-623,-2194,-12278,48703,244,
0,234,148,931,4,-3,-1,-816,-184,-516,10606,-623,-2194,-12278,48724,245,
0,233,146,931,-1,-4,-2,-796,-172,-491,10606,-623,-2194,-12278,48743,246,
0,233,146,930,4,-2,-1,-796,-172,-491,10606,-623,-2194,-12278,48763,247,
0,232,149,932,-2,-1,-1,-803,-172,-484,10606,-623,-2194,-12278,48783,248,
